#META: VIDEO=Videos\MVI_1635.mp4, ROI=(659, 0, 130, 749), TIMESTAMP=20260113_182711
#OUTLIERS:
trajectory_id,point_index,frame_num,x,y
31,21,21704,716,471
31,22,21705,717,496
31,23,21706,717,523
31,24,21707,717,549
31,25,21708,717,575
31,26,21709,718,603
31,27,21710,718,630
31,28,21711,718,658
31,29,21712,719,687
31,30,21713,719,715
32,0,22084,704,22
32,1,22085,703,38
32,2,22086,703,54
32,3,22087,705,70
32,4,22088,704,86
32,5,22089,702,103
32,6,22090,702,121
32,7,22091,703,139
32,8,22092,703,158
32,9,22093,702,177
32,10,22094,703,198
32,11,22095,704,218
32,12,22096,703,240
32,13,22097,703,260
32,14,22098,705,281
32,15,22099,705,304
32,16,22100,704,327
32,17,22101,707,350
32,18,22102,707,373
32,19,22103,708,396
32,20,22104,709,420
32,21,22105,708,445
32,22,22106,710,470
32,23,22107,712,495
32,24,22108,714,521
32,25,22109,714,547
32,26,22110,715,574
32,27,22111,715,599
32,28,22112,718,626
32,29,22113,719,654
32,30,22114,720,682
32,31,22115,721,710
33,0,22859,704,34
33,1,22860,705,52
33,2,22861,705,67
33,3,22862,705,84
33,4,22863,704,103
33,5,22864,706,121
33,6,22865,708,140
33,7,22866,709,159
33,8,22867,709,179
33,9,22868,709,199
33,10,22869,708,220
33,11,22870,712,241
33,12,22871,712,262
33,13,22872,713,284
33,14,22873,714,307
33,15,22874,711,331
33,16,22875,712,354
33,17,22876,714,376
33,18,22877,715,401
33,19,22878,718,425
33,20,22879,716,451
33,21,22880,720,475
33,22,22881,721,501
33,23,22882,722,527
33,24,22883,722,553
33,25,22884,723,580
33,26,22885,725,607
33,27,22886,725,634
33,28,22887,726,663
33,29,22888,726,691
33,30,22889,728,719
34,0,23574,698,22
34,1,23575,698,37
34,2,23576,701,54
34,3,23577,699,70
34,4,23578,700,87
34,5,23579,700,104
34,6,23580,699,121
34,7,23581,702,138
34,8,23582,702,158
34,9,23583,702,176
34,10,23584,705,197
34,11,23585,704,217
34,12,23586,707,238
34,13,23587,708,258
34,14,23588,710,279
34,15,23589,711,303
34,16,23590,710,324
34,17,23591,712,348
34,18,23592,713,371
34,19,23593,713,393
34,20,23594,718,419
34,21,23595,717,444
34,22,23596,719,469
34,23,23597,721,494
34,24,23598,721,519
34,25,23599,722,546
34,26,23600,725,573
34,27,23601,726,599
34,28,23602,726,626
34,29,23603,728,654
34,30,23604,729,682
34,31,23605,730,710
35,0,24130,707,26
35,1,24131,707,41
35,2,24132,706,58
35,3,24133,707,73
35,4,24134,708,92
35,5,24135,708,110
35,6,24136,709,128
35,7,24137,710,147
35,8,24138,710,166
35,9,24139,710,187
35,10,24140,711,208
35,11,24141,712,228
35,12,24142,713,251
35,13,24143,713,271
35,14,24144,714,295
35,15,24145,715,316
35,16,24146,712,341
35,17,24147,713,364
35,18,24148,715,388
35,19,24149,716,411
